"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","942","用户详情-获取拉新活动","test_cases","Thu Mar 06 16:01:08 CST 2025","passed","Thu Mar 06 16:01:09 CST 2025","TestCaseExe","test_all_case","",""
"","4202","运营大屏-营收统计
(所有)","test_cases","Thu Mar 06 15:58:34 CST 2025","passed","Thu Mar 06 15:58:38 CST 2025","TestCaseExe","test_all_case","",""
"","1370","实时大屏-订单占比","test_cases","Thu Mar 06 15:58:17 CST 2025","passed","Thu Mar 06 15:58:18 CST 2025","TestCaseExe","test_all_case","",""
"","1007","用户分组-获取指定分组用户","test_cases","Thu Mar 06 16:01:35 CST 2025","passed","Thu Mar 06 16:01:36 CST 2025","TestCaseExe","test_all_case","",""
"","932","实时大屏-用户统计","test_cases","Thu Mar 06 15:58:15 CST 2025","passed","Thu Mar 06 15:58:16 CST 2025","TestCaseExe","test_all_case","",""
"","1092","用户详情-解除邀请渠道商","test_cases","Thu Mar 06 16:01:28 CST 2025","passed","Thu Mar 06 16:01:29 CST 2025","TestCaseExe","test_all_case","",""
"","4001","用户分组-下拉使用","test_cases","Thu Mar 06 16:00:00 CST 2025","passed","Thu Mar 06 16:00:04 CST 2025","TestCaseExe","test_all_case","",""
"","1097","用户详情-修改用户分组","test_cases","Thu Mar 06 16:01:18 CST 2025","passed","Thu Mar 06 16:01:19 CST 2025","TestCaseExe","test_all_case","",""
"","377","用户详情","test_cases","Thu Mar 06 15:57:46 CST 2025","passed","Thu Mar 06 15:57:46 CST 2025","TestCaseExe","test_all_case","",""
"","1306","用户详情-查看绑定信息","test_cases","Thu Mar 06 16:01:21 CST 2025","passed","Thu Mar 06 16:01:22 CST 2025","TestCaseExe","test_all_case","",""
"","2387","用户列表-姓名搜索","test_cases","Thu Mar 06 16:00:23 CST 2025","passed","Thu Mar 06 16:00:26 CST 2025","TestCaseExe","test_all_case","",""
"","960","用户列表-取消黑名单","test_cases","Thu Mar 06 16:01:02 CST 2025","passed","Thu Mar 06 16:01:03 CST 2025","TestCaseExe","test_all_case","",""
